States,Agricultural University,Year,State Allocation,State  Expenditure,ICAR Allocation,ICAR Expenditure,Other Sources Allocation,Other Sources Expenditure,Total Allocation,Total Expenditure
Andhra Pradesh ,"Acharya N.G. Ranga Agricultural University, Hyderabad",2012-13,3199.5," The expenditure is under compilation and budget accounts are yet to be finalized, ",362.46," The expenditure is under compilation and budget accounts are yet to be finalized, ",250.14," The expenditure is under compilation and budget accounts are yet to be finalized, ",3812.1," The expenditure is under compilation and budget accounts are yet to be finalized, "
Haryana ,"CCS Haryana Agriculture University, Hisar",2011-12,2443.82,NA,587.51,NA,196.73,NA,3228.06,NA
Haryana ,"Lala Lajpat Rai University of Veterinary & Animal Sciences , Hisar",2010-11,NA,NA,NA,NA,NA,NA,NA,NA
Haryana ,"Lala Lajpat Rai University of Veterinary & Animal Sciences , Hisar",2012-13,588.44," The expenditure is under compilation and budget accounts are yet to be finalized, ",24.82," The expenditure is under compilation and budget accounts are yet to be finalized, ",82.43," The expenditure is under compilation and budget accounts are yet to be finalized, ",695.69," The expenditure is under compilation and budget accounts are yet to be finalized, "
Karnataka ,"University of Agricultural Sciences, Raichur",2010-11,NA,NA,NA,NA,NA,NA,NA,NA
Karnataka ,"University of Agricultural Sciences, Raichur",2011-12,NA,NA,NA,NA,NA,NA,NA,NA
Kerala ,"Kerala Veterinary and Animal Sciences University, Pookode, Wayanad",2010-11,NA,NA,NA,NA,NA,NA,NA,NA
Karnataka ,"University of Horticultural Sciences, Bagalkot",2010-11,367.05,367.05,65.4,65.4,NA,NA,432.45,432.45
Karnataka ,"University of Horticultural Sciences, Bagalkot",2011-12,770.6,770.6,92.17,92.17,NA,NA,862.77,862.77
Karnataka ,"University of Horticultural Sciences, Bagalkot",2012-13,790,790,84.75,81.76,NA,NA,874.75,871.76
Madhya Pradesh ,"Madhya Pradesh Pashuchikitsa Vigyan Vishwa Vidyalaya, Jabalpur",2009-10,44.62,43.26,NA,NA,NA,NA,44.62,43.26
Maharashtra,"Mahatma Phule Krishi Vidyapeeth Rahuri, Maharashtra",2010-11,370.12,408.3,43.76,58.83,NA,NA,413.88,467.13
Maharashtra,"Mahatma Phule Krishi Vidyapeeth Rahuri, Maharashtra",2011-12,409.53,387.22,63.29,58.61,NA,NA,472.82,445.83
Maharashtra,"Mahatma Phule Krishi Vidyapeeth Rahuri, Maharashtra",2012-13,464.81,377.7,78.89,64.32,NA,NA,543.7,442.01
Manipur,"Central Agricultural University, Imphal",2007-08,555,627.1,51.09,53.07,NA,NA,606.09,680.17
Manipur,"Central Agricultural University, Imphal",2008-09,803.3,830.1,77.79,51.77,NA,NA,881.09,881.87
Manipur,"Central Agricultural University, Imphal",2009-10,700,700,915.19,942.61,NA,NA,1615.19,1642.61
Nagaland,"Nagaland University ,  Nagaland",2010-11,NA,NA,40.16b,34.52,19.6,19.6,59.76,54.12
Nagaland,"Nagaland University ,  Nagaland",2011-12,NA,NA,32.09 b,32.09,17.14,17.14,49.24,49.24
Nagaland,"Nagaland University ,  Nagaland",2012-13,NA,NA,25,25,19.3,19.3,44.3,44.3
Tamil Nadu,"Tamil Nadu Veterinary & Animal Sciences University, Chennai",2009-10,951.75," The expenditure is under compilation and budget accounts are yet to be finalized, ",165.75," The expenditure is under compilation and budget accounts are yet to be finalized, ",40.28," The expenditure is under compilation and budget accounts are yet to be finalized, ",1157.78," The expenditure is under compilation and budget accounts are yet to be finalized, "
Uttar Pradesh,"Manyawar Shri Kanshi Ram Ji University of Agriculture & Technology, Banda",2009-10,20,8.41,NA,NA,NA,NA,20,8.41
Uttar Pradesh,"Manyawar Shri Kanshi Ram Ji University of Agriculture & Technology, Banda",2010-11,108.35,108.35,NA,NA,NA,NA,108.35,108.35
Uttar Pradesh,"Manyawar Shri Kanshi Ram Ji University of Agriculture & Technology, Banda",2011-12,295,137,NA,NA,NA,NA,295,137
West Bengal,"W.B. University of Animal & Fishery Sciences, Calcutta",2004-05,NA,80.27,11.4,10.8,NA,5.78,NA,96.85
West Bengal,"W.B. University of Animal & Fishery Sciences, Calcutta",2005-06,NA,86.48,25,25.21,NA,6.58,NA,118.27
West Bengal,"W.B. University of Animal & Fishery Sciences, Calcutta",2006-07,104.29,102.31,31.9,NA,NA,6.99,NA,109.31
Uttar Pradesh,"C.S. Azad University of Agriculture & Technology, Kanpur",2012-13,6423.91,6423.91,1877.22,AUC under preparation.,1328.29,1328.29,9629.42,7752.2
